InvoiceValue,IGST,CGST,SGST,InputTaxCredit,Turnover,InvoiceCount,BusinessAge,FilingDelay,Fraudulent
122458,30781.97,15852.23,7939.82,6913.97,2449160,5,24,76,1
147367,13564.49,19597.51,9675.42,21605.87,28736565,178,21,59,0
132432,15102.69,7867.46,16665.58,6014.69,31783680,56,6,85,1
366338,29236.76,22561.75,27691.04,12362.02,54950700,191,20,39,0
259678,53365.1,26001.72,29686.97,67523.34,29862970,57,18,14,1
120379,32155.15,15704.35,12170.98,9320.08,31539298,173,28,6,0
110768,12390.8,15251.81,15278.62,20053.83,6424544,165,7,38,0
208392,33205.91,11287.26,15536.47,12860.95,56682624,72,28,50,0
55386,10850.01,4542.74,3558.75,5179.02,11852604,79,18,6,0
137837,38577.44,9532.87,7537.4,16702.4,8270220,36,27,11,0
476102,35281.95,56197.62,34130.02,28675.34,87602768,161,12,13,0
430910,70958.5,46373.43,48075.07,14163.77,100832940,134,7,33,0
87998,12194.55,5349.39,5075.13,23372.69,23759460,115,7,38,1
375371,93519.42,35103.56,27035.41,8751.1,86710701,71,1,72,1
388968,62029.73,43443.7,49390.28,14457.89,90240576,173,29,63,1
175703,13269.94,21103.77,18003.54,43121.07,48845434,92,10,11,0
191835,37583.84,9937.96,10792.05,18984.44,15922305,135,10,33,0
278667,63335.31,36266.35,15129.24,61972.67,34276041,105,12,26,0
41590,2107.06,4210.38,2308.29,2534.63,9482520,65,3,21,0
329865,81661.39,40597.09,44455.5,28513.16,20781495,24,3,17,0
65320,6060.74,8015.71,8262.22,11782.25,13651880,45,13,45,0
263413,46617.77,17671.52,33201.79,78185.73,36877820,189,13,43,1
322379,46949.16,19315.5,42934.28,13077.13,64798179,147,27,17,0
194527,41924.53,22354.24,18572.07,25707.77,36571076,117,6,36,0
327569,44342.09,20990.1,23670.47,10502.74,96960424,160,27,6,0
253209,63313.78,32029.51,21806.69,19189.04,63049041,30,3,67,1
199541,43502.76,23018.46,22886.91,54692.57,50683414,65,28,79,1
